,Date,Time,open,high,low,close,volume
0,27-10-2023,09:15:00,19199.3,19249.85,19199.3,19219.45,5750.0
1,27-10-2023,09:20:00,19228.0,19265.6,19225.0,19264.95,5150.0
2,27-10-2023,09:25:00,19265.35,19270.6,19260.05,19260.05,2450.0
3,27-10-2023,09:30:00,19260.05,19278.0,19260.05,19278.0,1200.0
4,27-10-2023,09:35:00,19278.0,19284.5,19274.9,19280.7,3350.0
5,27-10-2023,09:40:00,19280.7,19284.3,19267.65,19273.85,1550.0
6,27-10-2023,09:45:00,19273.85,19300.0,19273.85,19300.0,1700.0
7,27-10-2023,09:50:00,19300.0,19307.6,19296.1,19297.4,4200.0
8,27-10-2023,09:55:00,19297.4,19301.15,19294.85,19295.05,1450.0
9,27-10-2023,10:00:00,19295.05,19316.7,19294.5,19304.6,2100.0
10,27-10-2023,10:05:00,19304.6,19316.65,19303.8,19316.65,1150.0
11,27-10-2023,10:10:00,19313.8,19313.8,19283.05,19283.05,1400.0
12,27-10-2023,10:15:00,19283.05,19289.8,19275.0,19289.8,750.0
13,27-10-2023,10:20:00,19283.65,19296.5,19270.0,19272.0,1450.0
14,27-10-2023,10:25:00,19272.0,19285.0,19268.45,19285.0,750.0
15,27-10-2023,10:30:00,19285.0,19302.65,19279.7,19302.65,1900.0
16,27-10-2023,10:35:00,19302.65,19302.65,19290.0,19301.55,500.0
17,27-10-2023,10:40:00,19301.55,19301.55,19291.05,19291.05,100.0
18,27-10-2023,10:45:00,19291.05,19308.5,19286.0,19305.0,1950.0
19,27-10-2023,10:50:00,19305.0,19305.0,19299.1,19299.1,550.0
20,27-10-2023,10:55:00,19299.1,19303.9,19296.9,19303.85,300.0
21,27-10-2023,11:00:00,19303.85,19311.9,19303.8,19305.15,1900.0
22,27-10-2023,11:05:00,19305.15,19307.0,19303.0,19305.0,250.0
23,27-10-2023,11:10:00,19305.0,19305.0,19295.05,19301.4,550.0
24,27-10-2023,11:15:00,19301.4,19304.85,19297.0,19304.85,500.0
25,27-10-2023,11:20:00,19304.85,19330.0,19301.2,19330.0,2150.0
26,27-10-2023,11:25:00,19330.0,19334.05,19320.45,19328.0,550.0
27,27-10-2023,11:30:00,19328.0,19338.1,19327.35,19331.05,1050.0
28,27-10-2023,11:35:00,19331.05,19339.95,19331.05,19339.95,450.0
29,27-10-2023,11:40:00,19338.3,19338.3,19315.45,19315.45,450.0
30,27-10-2023,11:45:00,19315.45,19332.5,19315.45,19332.45,1050.0
31,27-10-2023,11:50:00,19332.45,19340.45,19332.45,19340.4,1300.0
32,27-10-2023,11:55:00,19340.4,19345.9,19335.15,19335.25,1100.0
33,27-10-2023,12:00:00,19335.25,19347.0,19335.25,19344.2,2300.0
34,27-10-2023,12:05:00,19344.2,19348.6,19340.95,19340.95,800.0
35,27-10-2023,12:10:00,19337.7,19344.95,19337.7,19338.45,1450.0
36,27-10-2023,12:15:00,19338.45,19342.9,19338.45,19342.9,1100.0
37,27-10-2023,12:20:00,19335.0,19339.95,19332.0,19339.95,600.0
38,27-10-2023,12:25:00,19339.95,19341.0,19321.0,19321.0,1050.0
39,27-10-2023,12:30:00,19321.0,19325.0,19304.9,19309.1,1150.0
40,27-10-2023,12:35:00,19314.15,19323.0,19314.15,19323.0,350.0
