,Date,Time,open,high,low,close,volume,ST_Buy,ST_Sell,ST_Buy52,ST_Sell52,ST73,ST102,ST113
0,23-01-2024,10:19,21703.35,21708.8,21699.95,21604.1,,,,,,,,
1,23-01-2024,10:24,21658.4,21678.4,21608.75,21608.85,,,,,,,,
2,23-01-2024,10:29,21610.95,21610.95,21592.75,21600.05,,,,,,,,
3,23-01-2024,10:34,21600.4,21623.15,21592.75,21609.95,,,,,,,,
4,23-01-2024,10:39,21610.8,21618.65,21569.8,21569.8,,,,,,,,
5,23-01-2024,10:44,21570.3,21570.3,21536.85,21539.3,,,,,,,,
6,23-01-2024,10:49,21541.3,21557.8,21527.7,21530.8,,,,,,,,
7,23-01-2024,10:54,21531.05,21559.65,21520.3,21559.65,,,,,,,,
8,23-01-2024,10:56,21559.1,21568.3,21546.55,21546.55,,,,,,,,
9,23-01-2024,10:57,21546.45,21553.7,21541.5,21551.2,,,,,,,,
10,23-01-2024,10:59,21551.9,21567.4,21547.35,21560.9,,,,,,,,
11,23-01-2024,11:09,21563.05,21566.2,21548.55,21557.35,,,,,,,,
12,23-01-2024,11:14,21557.7,21570.95,21550.65,21558.1,,,,,,,,
13,23-01-2024,11:19,21557.4,21562.95,21538.3,21540.15,,,,,,,,
14,23-01-2024,11:24,21540.45,21552.75,21529.1,21549.2,,,,,,,,
15,23-01-2024,11:29,21548.9,21559.5,21544.4,21554.9,,,,,,,,
16,23-01-2024,11:34,21554.8,21555.2,21512.8,21536.0,,,,,,,,
17,23-01-2024,11:39,21535.55,21539.85,21508.2,21508.3,,,,,,,,
18,23-01-2024,11:44,21509.15,21511.35,21462.45,21464.75,,,,,,,,
19,23-01-2024,11:49,21466.25,21480.35,21448.85,21468.8,,,,,,,,
20,23-01-2024,11:54,21468.2,21485.6,21452.05,21452.9,,,,,,,,
21,23-01-2024,11:56,21451.1,21466.2,21451.1,21456.15,,,,,,,,
22,23-01-2024,11:57,21456.2,21456.2,21447.85,21448.45,,,,,,,,
23,23-01-2024,11:59,21448.7,21451.05,21436.05,21443.25,,,,,,,,
24,23-01-2024,12:04,21443.7,21445.75,21404.4,21411.0,,,,,,,,
25,23-01-2024,12:09,21411.85,21416.75,21373.75,21386.55,,,,,,,,
26,23-01-2024,12:14,21387.8,21402.05,21382.25,21389.5,,,,,,,,
27,23-01-2024,12:19,21389.45,21434.75,21386.75,21390.95,,,,,,,,
28,23-01-2024,12:24,21389.35,21404.85,21382.0,21382.85,,,,,,,,
29,23-01-2024,12:29,21382.55,21401.2,21382.2,21397.5,,,,,,,,
30,23-01-2024,12:34,21398.6,21426.15,21396.6,21418.5,,,,,,,,
31,23-01-2024,12:39,21418.15,21425.85,21397.4,21401.2,,,,,,,,
32,23-01-2024,12:44,21402.8,21408.65,21394.45,21399.55,,,,,,,,
33,23-01-2024,12:49,21400.9,21405.95,21373.25,21402.25,,,,,,,,
34,23-01-2024,12:54,21402.45,21405.85,21383.25,21396.8,,,,,,,,
35,23-01-2024,12:56,21397.8,21397.8,21379.85,21385.4,,,,,,,,
36,23-01-2024,12:57,21384.75,21384.75,21374.05,21374.35,,,,,,,,
37,23-01-2024,12:59,21373.1,21375.0,21357.3,21365.65,,,,,,,,
38,23-01-2024,13:04,21365.75,21378.6,21360.0,21367.45,,,,,,,,
39,23-01-2024,13:09,21367.4,21376.1,21345.05,21349.3,,,,,,,,
40,23-01-2024,13:14,21349.35,21364.55,21337.5,21352.15,,,,,,,,
41,23-01-2024,13:19,21353.25,21375.65,21346.65,21364.25,,,,,,,,
42,23-01-2024,13:24,21364.55,21366.0,21342.8,21348.9,,,,,,,,
43,23-01-2024,13:29,21349.35,21355.35,21327.8,21348.75,,,,,,,,
44,23-01-2024,13:34,21349.3,21361.65,21342.15,21343.4,,,,,,,,
45,23-01-2024,13:39,21352.4,21356.85,21344.5,21346.25,,,,,,,,
46,23-01-2024,13:44,21347.85,21349.4,21330.65,21345.75,,,,,,,,
47,23-01-2024,13:49,21347.7,21361.45,21340.8,21359.75,,,,,,,,
48,23-01-2024,13:54,21360.65,21360.8,21313.0,21324.35,,,,,,,,
49,23-01-2024,13:56,21324.8,21327.85,21309.85,21312.05,,,,,,,,
50,23-01-2024,13:57,21312.4,21319.35,21311.95,21312.5,,,,,,,,
