,datetime,open,high,low,close,volume,doji,sma_100,rsi,supertrend73,ST_Buy,ST_Sell
0,2023-06-26 00:00:00,43714.75,43773.1,43541.75,43641.05,0.0,0,,,0.0,0,0
1,2023-06-27 00:00:00,43804.55,44194.65,43693.15,44121.5,0.0,0,,,,0,0
2,2023-06-28 00:00:00,44419.5,44508.4,44163.2,44327.8,0.0,0,,,,0,0
3,2023-06-30 00:00:00,44666.0,44787.1,44447.2,44747.35,0.0,0,,,,0,0
4,2023-07-03 00:00:00,44957.95,45353.2,44882.1,45158.1,0.0,0,,,,0,0
5,2023-07-04 00:00:00,45310.55,45655.5,45000.25,45301.45,0.0,0,,,,0,0
6,2023-07-05 00:00:00,45169.7,45418.9,45073.4,45151.8,0.0,0,,,,0,0
7,2023-07-06 00:00:00,45060.55,45417.5,45042.6,45339.9,0.0,0,,,43780.92142857143,0,0
8,2023-07-07 00:00:00,45118.05,45227.25,44844.8,44925.0,0.0,0,,,43780.92142857143,0,0
9,2023-07-10 00:00:00,44958.65,45184.3,44721.9,44860.85,0.0,0,,,43780.92142857143,0,0
10,2023-07-11 00:00:00,44998.0,45139.55,44663.05,44745.05,0.0,0,,,43780.92142857143,0,0
11,2023-07-12 00:00:00,44872.6,44937.25,44562.4,44639.45,0.0,0,,,43780.92142857143,0,0
12,2023-07-13 00:00:00,45009.3,45085.15,44612.2,44665.05,0.0,0,,,43780.92142857143,0,0
13,2023-07-14 00:00:00,44860.65,44923.85,44547.8,44819.3,0.0,100,,,43780.92142857143,0,0
14,2023-07-17 00:00:00,44951.2,45556.45,44695.05,45449.75,0.0,0,,75.77303428424862,43780.92142857143,0,0
15,2023-07-18 00:00:00,45754.8,45905.85,45281.3,45410.85,0.0,0,,74.87906274439288,44009.30261828577,0,0
16,2023-07-19 00:00:00,45622.5,45707.4,45433.0,45669.3,0.0,100,,76.8345765075796,44085.15938710209,0,0
17,2023-07-20 00:00:00,45689.05,46256.2,45640.95,46186.9,0.0,0,,80.16473865257777,44412.004474658934,0,0
18,2023-07-21 00:00:00,46063.95,46369.5,45925.9,46075.2,0.0,100,,77.57306868339529,44640.525263993375,0,0
19,2023-07-24 00:00:00,46131.9,46191.5,45858.75,45923.05,0.0,0,45057.935000000005,74.06079652659722,44640.525263993375,0,0
20,2023-07-25 00:00:00,46154.7,46156.1,45622.85,45845.0,0.0,0,45168.1325,72.25353126683959,44640.525263993375,0,0
21,2023-07-26 00:00:00,45935.15,46096.6,45804.7,46062.35,0.0,0,45265.175,74.14561013665954,44640.525263993375,0,0
22,2023-07-27 00:00:00,46285.85,46310.1,45570.65,45679.3,0.0,0,45332.75,65.64909620306223,44640.525263993375,0,0
23,2023-07-28 00:00:00,45560.9,45727.75,45238.8,45468.1,0.0,0,45368.7875,61.46676143006694,44640.525263993375,0,0
24,2023-07-31 00:00:00,45546.35,45694.9,45359.75,45651.1,0.0,0,45393.4375,63.62892261407096,44640.525263993375,0,0
25,2023-08-01 00:00:00,45740.0,45782.75,45471.05,45592.5,0.0,0,45407.990000000005,62.42106718935047,44640.525263993375,0,0
26,2023-08-02 00:00:00,45234.65,45404.9,44720.9,44995.7,0.0,0,45400.185,51.664606543753564,44640.525263993375,0,0
27,2023-08-03 00:00:00,44862.85,45038.45,44279.4,44513.45,0.0,0,45358.862499999996,44.927430583508674,46297.97804910922,0,1
28,2023-08-04 00:00:00,44754.75,45118.05,44520.55,44879.5,0.0,0,45356.587499999994,50.23241584572076,46297.97804910922,0,0
29,2023-08-07 00:00:00,44993.7,45011.35,44773.85,44837.5,0.0,0,45355.42,49.64155154372366,46297.97804910922,0,0
30,2023-08-08 00:00:00,44888.95,45096.85,44817.85,44964.45,0.0,0,45366.38999999999,51.498611629259436,46297.97804910922,0,0
31,2023-08-09 00:00:00,44973.45,44975.0,44533.75,44880.7,0.0,0,45378.45249999999,50.18382827553953,46168.64730389236,0,0
32,2023-08-10 00:00:00,44797.65,44980.35,44418.4,44541.8,0.0,0,45372.28999999999,45.159487193766076,46152.44411762201,0,0
33,2023-08-11 00:00:00,44568.15,44571.25,44120.9,44199.1,0.0,0,45341.279999999984,40.719838633276105,45784.56995796173,0,0
34,2023-08-14 00:00:00,44066.6,44212.75,43776.9,44090.95,0.0,100,45273.33999999998,39.403312668048656,45414.613535395765,0,0
35,2023-08-16 00:00:00,43726.25,44002.8,43600.35,43946.4,0.0,0,45200.117499999986,37.65113666538888,45228.79374462494,0,0
36,2023-08-17 00:00:00,43897.25,44071.85,43745.1,43891.35,0.0,100,45111.21999999999,36.97676728360366,45228.79374462494,0,0
37,2023-08-18 00:00:00,43724.75,43957.65,43672.45,43851.05,0.0,0,44994.42749999998,36.46190449163877,45105.87805727547,0,0
38,2023-08-21 00:00:00,43952.85,44113.8,43862.0,44002.0,0.0,0,44890.76749999999,39.84081924732508,45105.87805727547,0,0
39,2023-08-22 00:00:00,44125.0,44151.3,43938.7,43993.25,0.0,0,44794.27749999998,39.70899613250758,45105.87805727547,0,0
